,rates,start_at,base,end_at
2018-03-08,"{'EUR': 0.1342191799, 'USD': 0.1667136434, 'GBP': 0.1200791893}",2018-01-01,DKK,2021-01-01
2018-03-09,"{'EUR': 0.1342389991, 'USD': 0.1649931538, 'GBP': 0.1193290735}",2018-01-01,DKK,2021-01-01
2018-03-12,"{'EUR': 0.1342353952, 'USD': 0.1651363832, 'GBP': 0.1189191366}",2018-01-01,DKK,2021-01-01
2018-03-13,"{'EUR': 0.1342534167, 'USD': 0.1661788793, 'GBP': 0.1190156539}",2018-01-01,DKK,2021-01-01
2018-03-14,"{'EUR': 0.1342408011, 'USD': 0.1660424469, 'GBP': 0.1189776221}",2018-01-01,DKK,2021-01-01
2018-03-15,"{'EUR': 0.1342516144, 'USD': 0.1656799173, 'GBP': 0.1187858284}",2018-01-01,DKK,2021-01-01
2018-03-16,"{'EUR': 0.1342534167, 'USD': 0.1651451279, 'GBP': 0.1184826679}",2018-01-01,DKK,2021-01-01
2018-03-19,"{'EUR': 0.1342570216, 'USD': 0.1652569679, 'GBP': 0.117599753}",2018-01-01,DKK,2021-01-01
2018-03-20,"{'EUR': 0.1342552192, 'USD': 0.1648117071, 'GBP': 0.1177619655}",2018-01-01,DKK,2021-01-01
2018-03-21,"{'EUR': 0.1342534167, 'USD': 0.1649437478, 'GBP': 0.1173415138}",2018-01-01,DKK,2021-01-01
2018-03-22,"{'EUR': 0.1342570216, 'USD': 0.1653509479, 'GBP': 0.1170721229}",2018-01-01,DKK,2021-01-01
2018-03-23,"{'EUR': 0.1342678375, 'USD': 0.1657670722, 'GBP': 0.1171956819}",2018-01-01,DKK,2021-01-01
2018-03-26,"{'EUR': 0.1342606267, 'USD': 0.1666308638, 'GBP': 0.1171397116}",2018-01-01,DKK,2021-01-01
2018-03-27,"{'EUR': 0.1342480098, 'USD': 0.1661453369, 'GBP': 0.1180576998}",2018-01-01,DKK,2021-01-01
2018-03-28,"{'EUR': 0.1342047696, 'USD': 0.1663870734, 'GBP': 0.1175700884}",2018-01-01,DKK,2021-01-01
2018-03-29,"{'EUR': 0.1341741581, 'USD': 0.1653159801, 'GBP': 0.1173889709}",2018-01-01,DKK,2021-01-01
2018-04-03,"{'EUR': 0.1342426032, 'USD': 0.1652257961, 'GBP': 0.1174931536}",2018-01-01,DKK,2021-01-01
2018-04-04,"{'EUR': 0.1342299897, 'USD': 0.1647807353, 'GBP': 0.1175492288}",2018-01-01,DKK,2021-01-01
2018-04-05,"{'EUR': 0.1342786551, 'USD': 0.1646256311, 'GBP': 0.1173528306}",2018-01-01,DKK,2021-01-01
2018-04-06,"{'EUR': 0.134275049, 'USD': 0.164272095, 'GBP': 0.117215404}",2018-01-01,DKK,2021-01-01
2018-04-09,"{'EUR': 0.1342840645, 'USD': 0.165223113, 'GBP': 0.1169453061}",2018-01-01,DKK,2021-01-01
2018-04-10,"{'EUR': 0.1342858678, 'USD': 0.1659907611, 'GBP': 0.1170744481}",2018-01-01,DKK,2021-01-01
2018-04-11,"{'EUR': 0.1343201386, 'USD': 0.1663420597, 'GBP': 0.1173420731}",2018-01-01,DKK,2021-01-01
2018-04-12,"{'EUR': 0.1343165303, 'USD': 0.1655182603, 'GBP': 0.1165128742}",2018-01-01,DKK,2021-01-01
2018-04-13,"{'EUR': 0.134287671, 'USD': 0.1654021244, 'GBP': 0.1160245478}",2018-01-01,DKK,2021-01-01
2018-04-16,"{'EUR': 0.134276852, 'USD': 0.1661004659, 'GBP': 0.1161024801}",2018-01-01,DKK,2021-01-01
2018-04-17,"{'EUR': 0.134275049, 'USD': 0.1659236781, 'GBP': 0.1158525123}",2018-01-01,DKK,2021-01-01
2018-04-18,"{'EUR': 0.1342678375, 'USD': 0.1663309971, 'GBP': 0.1169539998}",2018-01-01,DKK,2021-01-01
2018-04-19,"{'EUR': 0.1342678375, 'USD': 0.1662504364, 'GBP': 0.1167794517}",2018-01-01,DKK,2021-01-01
2018-04-20,"{'EUR': 0.1342696403, 'USD': 0.1652725002, 'GBP': 0.1176309465}",2018-01-01,DKK,2021-01-01
2018-04-23,"{'EUR': 0.1342696403, 'USD': 0.1643191858, 'GBP': 0.1176739128}",2018-01-01,DKK,2021-01-01
2018-04-24,"{'EUR': 0.1342678375, 'USD': 0.1639813099, 'GBP': 0.1174413921}",2018-01-01,DKK,2021-01-01
2018-04-25,"{'EUR': 0.1342480098, 'USD': 0.1635811999, 'GBP': 0.1173059109}",2018-01-01,DKK,2021-01-01
2018-04-26,"{'EUR': 0.1342119744, 'USD': 0.1633091304, 'GBP': 0.1168986297}",2018-01-01,DKK,2021-01-01
2018-04-27,"{'EUR': 0.1342263862, 'USD': 0.1620112482, 'GBP': 0.1177165407}",2018-01-01,DKK,2021-01-01
2018-04-30,"{'EUR': 0.1342263862, 'USD': 0.1621320519, 'GBP': 0.1180655293}",2018-01-01,DKK,2021-01-01
2018-05-02,"{'EUR': 0.1342498121, 'USD': 0.1611937493, 'GBP': 0.1181935345}",2018-01-01,DKK,2021-01-01
2018-05-03,"{'EUR': 0.1342335933, 'USD': 0.1609729251, 'GBP': 0.1183671826}",2018-01-01,DKK,2021-01-01
2018-05-04,"{'EUR': 0.1342426032, 'USD': 0.1606749718, 'GBP': 0.118448961}",2018-01-01,DKK,2021-01-01
2018-05-07,"{'EUR': 0.1342534167, 'USD': 0.1597884166, 'GBP': 0.1181564321}",2018-01-01,DKK,2021-01-01
2018-05-08,"{'EUR': 0.134222783, 'USD': 0.1593224434, 'GBP': 0.1180220931}",2018-01-01,DKK,2021-01-01
2018-05-09,"{'EUR': 0.1342371971, 'USD': 0.1594603665, 'GBP': 0.117383717}",2018-01-01,DKK,2021-01-01
2018-05-10,"{'EUR': 0.1342353952, 'USD': 0.1594448024, 'GBP': 0.1178721005}",2018-01-01,DKK,2021-01-01
2018-05-11,"{'EUR': 0.1342317915, 'USD': 0.1601922199, 'GBP': 0.1181239765}",2018-01-01,DKK,2021-01-01
2018-05-14,"{'EUR': 0.1342191799, 'USD': 0.1609019529, 'GBP': 0.1184350044}",2018-01-01,DKK,2021-01-01
2018-05-15,"{'EUR': 0.1342426032, 'USD': 0.1595204854, 'GBP': 0.1179992482}",2018-01-01,DKK,2021-01-01
2018-05-16,"{'EUR': 0.1342516144, 'USD': 0.1582021024, 'GBP': 0.1173600763}",2018-01-01,DKK,2021-01-01
2018-05-17,"{'EUR': 0.1342624293, 'USD': 0.1584967978, 'GBP': 0.117278232}",2018-01-01,DKK,2021-01-01
2018-05-18,"{'EUR': 0.1342588242, 'USD': 0.1581703207, 'GBP': 0.1172415182}",2018-01-01,DKK,2021-01-01
2018-05-21,"{'EUR': 0.1342804582, 'USD': 0.1579003908, 'GBP': 0.1176833935}",2018-01-01,DKK,2021-01-01
2018-05-22,"{'EUR': 0.1342678375, 'USD': 0.1583554875, 'GBP': 0.1177367813}",2018-01-01,DKK,2021-01-01
2018-05-23,"{'EUR': 0.1342371971, 'USD': 0.1571649104, 'GBP': 0.118065642}",2018-01-01,DKK,2021-01-01
2018-05-24,"{'EUR': 0.1342353952, 'USD': 0.1574312715, 'GBP': 0.1174224119}",2018-01-01,DKK,2021-01-01
2018-05-25,"{'EUR': 0.1342552192, 'USD': 0.1567429684, 'GBP': 0.1175270189}",2018-01-01,DKK,2021-01-01
2018-05-28,"{'EUR': 0.134275049, 'USD': 0.1563498671, 'GBP': 0.1174436716}",2018-01-01,DKK,2021-01-01
2018-05-29,"{'EUR': 0.1343562321, 'USD': 0.1552889331, 'GBP': 0.1170820514}",2018-01-01,DKK,2021-01-01
2018-05-30,"{'EUR': 0.1343508169, 'USD': 0.1562768702, 'GBP': 0.1175569647}",2018-01-01,DKK,2021-01-01
2018-05-31,"{'EUR': 0.1343435972, 'USD': 0.1571685743, 'GBP': 0.117792466}",2018-01-01,DKK,2021-01-01
2018-06-01,"{'EUR': 0.1343345737, 'USD': 0.156755014, 'GBP': 0.1177845542}",2018-01-01,DKK,2021-01-01
2018-06-04,"{'EUR': 0.1343472069, 'USD': 0.1576833168, 'GBP': 0.1177862267}",2018-01-01,DKK,2021-01-01
2018-06-05,"{'EUR': 0.1343634531, 'USD': 0.1568693315, 'GBP': 0.1174202217}",2018-01-01,DKK,2021-01-01
2018-06-06,"{'EUR': 0.1343435972, 'USD': 0.1580552421, 'GBP': 0.1177964963}",2018-01-01,DKK,2021-01-01
2018-06-07,"{'EUR': 0.1342588242, 'USD': 0.1589087443, 'GBP': 0.1183129036}",2018-01-01,DKK,2021-01-01
2018-06-08,"{'EUR': 0.1342714431, 'USD': 0.1578226543, 'GBP': 0.1178003652}",2018-01-01,DKK,2021-01-01
2018-06-11,"{'EUR': 0.1342426032, 'USD': 0.1582720292, 'GBP': 0.1183751275}",2018-01-01,DKK,2021-01-01
2018-06-12,"{'EUR': 0.134222783, 'USD': 0.1582218166, 'GBP': 0.1183509389}",2018-01-01,DKK,2021-01-01
2018-06-13,"{'EUR': 0.134222783, 'USD': 0.1578996819, 'GBP': 0.1183979169}",2018-01-01,DKK,2021-01-01
2018-06-14,"{'EUR': 0.1342299897, 'USD': 0.1574517779, 'GBP': 0.1176968818}",2018-01-01,DKK,2021-01-01
2018-06-15,"{'EUR': 0.134222783, 'USD': 0.1556447391, 'GBP': 0.1172033341}",2018-01-01,DKK,2021-01-01
2018-06-18,"{'EUR': 0.1342281879, 'USD': 0.1558791946, 'GBP': 0.1176577181}",2018-01-01,DKK,2021-01-01
2018-06-19,"{'EUR': 0.1341759584, 'USD': 0.1547585504, 'GBP': 0.1176629232}",2018-01-01,DKK,2021-01-01
2018-06-20,"{'EUR': 0.13418316, 'USD': 0.1553572627, 'GBP': 0.1179174774}",2018-01-01,DKK,2021-01-01
2018-06-21,"{'EUR': 0.1341921632, 'USD': 0.1548309179, 'GBP': 0.117243693}",2018-01-01,DKK,2021-01-01
2018-06-22,"{'EUR': 0.1341813595, 'USD': 0.1562944476, 'GBP': 0.1176274052}",2018-01-01,DKK,2021-01-01
2018-06-25,"{'EUR': 0.1341975657, 'USD': 0.1570111518, 'GBP': 0.1181475368}",2018-01-01,DKK,2021-01-01
2018-06-26,"{'EUR': 0.1342101731, 'USD': 0.1566501141, 'GBP': 0.1183196886}",2018-01-01,DKK,2021-01-01
2018-06-27,"{'EUR': 0.1342155771, 'USD': 0.1559048143, 'GBP': 0.1183419008}",2018-01-01,DKK,2021-01-01
2018-06-28,"{'EUR': 0.1342119744, 'USD': 0.1554577299, 'GBP': 0.1188044397}",2018-01-01,DKK,2021-01-01
2018-06-29,"{'EUR': 0.13418316, 'USD': 0.1564307279, 'GBP': 0.1188929889}",2018-01-01,DKK,2021-01-01
2018-07-02,"{'EUR': 0.1342209814, 'USD': 0.1562198003, 'GBP': 0.1189869}",2018-01-01,DKK,2021-01-01
2018-07-03,"{'EUR': 0.1342173785, 'USD': 0.156564572, 'GBP': 0.1185810539}",2018-01-01,DKK,2021-01-01
2018-07-04,"{'EUR': 0.1342155771, 'USD': 0.1562537748, 'GBP': 0.1182546606}",2018-01-01,DKK,2021-01-01
2018-07-05,"{'EUR': 0.1342155771, 'USD': 0.1571530192, 'GBP': 0.1185257761}",2018-01-01,DKK,2021-01-01
2018-07-06,"{'EUR': 0.1341777587, 'USD': 0.1573100043, 'GBP': 0.1188747853}",2018-01-01,DKK,2021-01-01
2018-07-09,"{'EUR': 0.1341669574, 'USD': 0.158169426, 'GBP': 0.1185297985}",2018-01-01,DKK,2021-01-01
2018-07-10,"{'EUR': 0.1341633573, 'USD': 0.1571455404, 'GBP': 0.1185172266}",2018-01-01,DKK,2021-01-01
2018-07-11,"{'EUR': 0.134154358, 'USD': 0.1574301391, 'GBP': 0.118702459}",2018-01-01,DKK,2021-01-01
2018-07-12,"{'EUR': 0.1341309655, 'USD': 0.1563698796, 'GBP': 0.1183880141}",2018-01-01,DKK,2021-01-01
2018-07-13,"{'EUR': 0.1341291664, 'USD': 0.1561665884, 'GBP': 0.1186882168}",2018-01-01,DKK,2021-01-01
2018-07-16,"{'EUR': 0.1341399616, 'USD': 0.157212035, 'GBP': 0.1184053441}",2018-01-01,DKK,2021-01-01
2018-07-17,"{'EUR': 0.1341561578, 'USD': 0.1570566139, 'GBP': 0.119030051}",2018-01-01,DKK,2021-01-01
2018-07-18,"{'EUR': 0.134148959, 'USD': 0.1557603563, 'GBP': 0.1195508693}",2018-01-01,DKK,2021-01-01
2018-07-19,"{'EUR': 0.1341615573, 'USD': 0.1554664127, 'GBP': 0.1198035875}",2018-01-01,DKK,2021-01-01
2018-07-20,"{'EUR': 0.1341921632, 'USD': 0.1566022544, 'GBP': 0.1200281804}",2018-01-01,DKK,2021-01-01
2018-07-23,"{'EUR': 0.1342119744, 'USD': 0.1572427492, 'GBP': 0.1196768176}",2018-01-01,DKK,2021-01-01
2018-07-24,"{'EUR': 0.1342209814, 'USD': 0.1571190809, 'GBP': 0.1196955868}",2018-01-01,DKK,2021-01-01
2018-07-25,"{'EUR': 0.1342047696, 'USD': 0.1568853757, 'GBP': 0.1192476481}",2018-01-01,DKK,2021-01-01
2018-07-26,"{'EUR': 0.1341975657, 'USD': 0.1572258679, 'GBP': 0.1192479568}",2018-01-01,DKK,2021-01-01
2018-07-27,"{'EUR': 0.1342281879, 'USD': 0.1560402685, 'GBP': 0.1192255034}",2018-01-01,DKK,2021-01-01
2018-07-30,"{'EUR': 0.1342408011, 'USD': 0.1568469521, 'GBP': 0.1195682816}",2018-01-01,DKK,2021-01-01
2018-07-31,"{'EUR': 0.1342299897, 'USD': 0.1575323159, 'GBP': 0.1197599968}",2018-01-01,DKK,2021-01-01
2018-08-01,"{'EUR': 0.1342029686, 'USD': 0.156963792, 'GBP': 0.1194943232}",2018-01-01,DKK,2021-01-01
2018-08-02,"{'EUR': 0.1342011676, 'USD': 0.1559014963, 'GBP': 0.1196336308}",2018-01-01,DKK,2021-01-01
2018-08-03,"{'EUR': 0.1341813595, 'USD': 0.1554893594, 'GBP': 0.1194885007}",2018-01-01,DKK,2021-01-01
2018-08-06,"{'EUR': 0.1341921632, 'USD': 0.154898014, 'GBP': 0.1198067633}",2018-01-01,DKK,2021-01-01
2018-08-07,"{'EUR': 0.1341921632, 'USD': 0.1556897477, 'GBP': 0.1200791734}",2018-01-01,DKK,2021-01-01
2018-08-08,"{'EUR': 0.1341669574, 'USD': 0.1554860869, 'GBP': 0.1208643035}",2018-01-01,DKK,2021-01-01
2018-08-09,"{'EUR': 0.1341093796, 'USD': 0.1554730038, 'GBP': 0.120617976}",2018-01-01,DKK,2021-01-01
2018-08-10,"{'EUR': 0.134148959, 'USD': 0.1536810474, 'GBP': 0.120298079}",2018-01-01,DKK,2021-01-01
2018-08-13,"{'EUR': 0.1341633573, 'USD': 0.1529864763, 'GBP': 0.1198481271}",2018-01-01,DKK,2021-01-01
2018-08-14,"{'EUR': 0.1341471594, 'USD': 0.1530082501, 'GBP': 0.1197934134}",2018-01-01,DKK,2021-01-01
2018-08-15,"{'EUR': 0.1340949929, 'USD': 0.1518089415, 'GBP': 0.1195188672}",2018-01-01,DKK,2021-01-01
2018-08-16,"{'EUR': 0.1340967911, 'USD': 0.1524680514, 'GBP': 0.1200139461}",2018-01-01,DKK,2021-01-01
2018-08-17,"{'EUR': 0.1340878007, 'USD': 0.1527394138, 'GBP': 0.1201091475}",2018-01-01,DKK,2021-01-01
2018-08-20,"{'EUR': 0.1340698236, 'USD': 0.1531077385, 'GBP': 0.1199629967}",2018-01-01,DKK,2021-01-01
2018-08-21,"{'EUR': 0.1340770138, 'USD': 0.1542153813, 'GBP': 0.1203207122}",2018-01-01,DKK,2021-01-01
2018-08-22,"{'EUR': 0.1340698236, 'USD': 0.1557355071, 'GBP': 0.1205663109}",2018-01-01,DKK,2021-01-01
2018-08-23,"{'EUR': 0.1340662287, 'USD': 0.1552352862, 'GBP': 0.120496045}",2018-01-01,DKK,2021-01-01
2018-08-24,"{'EUR': 0.1340626341, 'USD': 0.1553517804, 'GBP': 0.1209244959}",2018-01-01,DKK,2021-01-01
2018-08-27,"{'EUR': 0.1340806093, 'USD': 0.1559759728, 'GBP': 0.1211619426}",2018-01-01,DKK,2021-01-01
2018-08-28,"{'EUR': 0.1340949929, 'USD': 0.1570252367, 'GBP': 0.1215973396}",2018-01-01,DKK,2021-01-01
2018-08-29,"{'EUR': 0.1341003876, 'USD': 0.1563610519, 'GBP': 0.1213608507}",2018-01-01,DKK,2021-01-01
2018-08-30,"{'EUR': 0.1341057826, 'USD': 0.1567964811, 'GBP': 0.1203706684}",2018-01-01,DKK,2021-01-01
2018-08-31,"{'EUR': 0.1341237694, 'USD': 0.1562676037, 'GBP': 0.1203626707}",2018-01-01,DKK,2021-01-01
2018-09-03,"{'EUR': 0.1341633573, 'USD': 0.1557502415, 'GBP': 0.1209589997}",2018-01-01,DKK,2021-01-01
2018-09-04,"{'EUR': 0.1341453599, 'USD': 0.1550988651, 'GBP': 0.1208086282}",2018-01-01,DKK,2021-01-01
2018-09-05,"{'EUR': 0.1341219705, 'USD': 0.1553400663, 'GBP': 0.1211496935}",2018-01-01,DKK,2021-01-01
2018-09-06,"{'EUR': 0.1341075811, 'USD': 0.1560207599, 'GBP': 0.1204607936}",2018-01-01,DKK,2021-01-01
2018-09-07,"{'EUR': 0.1340842049, 'USD': 0.155738804, 'GBP': 0.1197036739}",2018-01-01,DKK,2021-01-01
2018-09-10,"{'EUR': 0.1340860028, 'USD': 0.1551509138, 'GBP': 0.1197924349}",2018-01-01,DKK,2021-01-01
2018-09-11,"{'EUR': 0.1340572424, 'USD': 0.1551578524, 'GBP': 0.1194021047}",2018-01-01,DKK,2021-01-01
2018-09-12,"{'EUR': 0.1340590396, 'USD': 0.1553073974, 'GBP': 0.1193500818}",2018-01-01,DKK,2021-01-01
2018-09-13,"{'EUR': 0.1340554453, 'USD': 0.1557724275, 'GBP': 0.1193093463}",2018-01-01,DKK,2021-01-01
2018-09-14,"{'EUR': 0.1340554453, 'USD': 0.15669741, 'GBP': 0.1196149928}",2018-01-01,DKK,2021-01-01
2018-09-17,"{'EUR': 0.1340590396, 'USD': 0.1564603051, 'GBP': 0.1191449714}",2018-01-01,DKK,2021-01-01
2018-09-18,"{'EUR': 0.1340446637, 'USD': 0.1567920431, 'GBP': 0.1192501542}",2018-01-01,DKK,2021-01-01
2018-09-19,"{'EUR': 0.1340536483, 'USD': 0.1564003914, 'GBP': 0.1190570666}",2018-01-01,DKK,2021-01-01
2018-09-20,"{'EUR': 0.1340626341, 'USD': 0.157778314, 'GBP': 0.1187660875}",2018-01-01,DKK,2021-01-01
2018-09-21,"{'EUR': 0.1340536483, 'USD': 0.157633685, 'GBP': 0.1198439616}",2018-01-01,DKK,2021-01-01
2018-09-24,"{'EUR': 0.1340536483, 'USD': 0.1578213601, 'GBP': 0.1199217127}",2018-01-01,DKK,2021-01-01
2018-09-25,"{'EUR': 0.1340536483, 'USD': 0.1578749816, 'GBP': 0.119877475}",2018-01-01,DKK,2021-01-01
2018-09-26,"{'EUR': 0.1340770138, 'USD': 0.1573661911, 'GBP': 0.1194358039}",2018-01-01,DKK,2021-01-01
2018-09-27,"{'EUR': 0.1340644314, 'USD': 0.1569492298, 'GBP': 0.1192811465}",2018-01-01,DKK,2021-01-01
2018-09-28,"{'EUR': 0.1341129768, 'USD': 0.1552491819, 'GBP': 0.1189984443}",2018-01-01,DKK,2021-01-01
2018-10-01,"{'EUR': 0.1341255684, 'USD': 0.1556661346, 'GBP': 0.1194763738}",2018-01-01,DKK,2021-01-01
2018-10-02,"{'EUR': 0.1341183729, 'USD': 0.1548128378, 'GBP': 0.1194230228}",2018-01-01,DKK,2021-01-01
2018-10-03,"{'EUR': 0.1341075811, 'USD': 0.1548674347, 'GBP': 0.1192149342}",2018-01-01,DKK,2021-01-01
2018-10-04,"{'EUR': 0.1341075811, 'USD': 0.1542505398, 'GBP': 0.1187924953}",2018-01-01,DKK,2021-01-01
